LM,Bone,side,region
1,nasal,left,facial
2,nasal,left,facial
3,nasal,left,facial
4,nasal,left,facial
5,premax,left,facial
6,premax,left,facial
7,premax,left,facial
8,premax,left,facial
9,maxilla,left,facial
10,maxilla,left,facial
11,maxilla,left,facial
12,maxilla,left,facial
13,maxilla,left,facial
14,maxilla,left,facial
15,maxilla,left,facial
16,jugal,left,facial
17,jugal,left,facial
18,jugal,left,facial
19,frontal,left,vault
20,frontal,left,vault
21,frontal,left,vault
22,frontal,left,vault
23,frontal,left,vault
24,frontal,left,vault
25,parietal,left,vault
26,parietal,left,vault
27,parietal,left,vault
28,parietal,left,vault
29,parietal,left,vault
30,squamosal,left,vault
31,squamosal,left,vault
32,squamosal,left,vault
33,squamosal,left,vault
34,squamosal,left,vault
35,squamosal,left,vault
36,squamosal,left,vault
37,squamosal,left,vault
38,interparietal,left,vault
39,interparietal,left,vault
40,interparietal,left,vault
41,supraoccipital,left,vault
42,supraoccipital,left,vault
43,supraoccipital,left,vault
44,occipital,left,occipital
45,occipital,left,occipital
46,paraoccipital,left,occipital
47,paraoccipital,left,occipital
48,supraoccipital,left,occipital
49,occipital,left,occipital
50,occipital,left,occipital
51,occipital,left,occipital
52,basioccipital,left,occipital
53,basioccipital,left,occipital
54,basisphenoid,left,base
55,basisphenoid,left,base
56,basisphenoid,left,base
57,basisphenoid,left,base
58,palate,left,palate
59,palate,left,palate
60,palate,left,palate
61,palate,left,palate
62,pterygoid,left,base
63,pterygoid,left,base
64,maxilla,left,palate
65,maxilla,left,palate
66,maxilla,left,palate
67,ventral_premax,left,palate
68,ventral_premax,left,palate
69,ventral_premax,left,palate
