Species,Specimen_number,Subclass,Major_clades,Genus,Precocial_altricial_spectrum,CS
B. penicillata,SAM-24247,Metatheria,Marsupialia,Bettongia,Super altricial,278.7160939
B. tridactylus,NHMUK_1867.4.12.579,Eutheria,Xenarthra,Bradypus,Semi-precocial,311.0235809
S. apella,NHMUK_12.6.5.8,Eutheria,Euarchontoglires,Cebus,Semi-altricial,393.3895807
C. didactylus,NHMUK_26.12.4.68,Eutheria,Xenarthra,Cyclopes,Semi-precocial,210.8303944
D. leporina,NHMUK_52.1156,Eutheria,Euarchontoglires,Dasyprocta,Precocial,390.9610401
D. novemcinctus,z.134,Eutheria,Xenarthra,Dasypus,Precocial,362.7961659
E. franqueti,NHMUK_66.3499,Eutheria,Laurasiatheria,Epomops,Altricial,201.8727754
F. catus,NHMUK_1952.10.20.1,Eutheria,Laurasiatheria,Felis,Semi-altricial,386.3616027
M. proboscideus,NHMUK_3.1.4.10,Eutheria,Afrotheria,Macroscelides,Precocial,126.5728707
P. tricuspis,NHMUK_1.8.9.108,Eutheria,Laurasiatheria,Manis,Semi-precocial,240.8285552
M. murinus,DLC_7030f,Eutheria,Euarchontoglires,Microcebus,Semi-altricial,140.6334422
M. domestica,TMM-M-9038,Metatheria,Marsupialia,Monodelphis,Super altricial,163.5472176
M. musculus,cfos_WT_1485,Eutheria,Euarchontoglires,Mus,Altricial,87.58273638
O. anatinus,NHMUK_90.12.4.5,Prototheria,Monotremata,Ornithorhynchus,Super altricial,327.6564754
P. aethiopicus,NHMUK_66.425,Eutheria,Laurasiatheria,Phacochoerus,Precocial,1465.473463
P. cinereus,PcinLge02,Metatheria,Marsupialia,Phascolarctos,Super altricial,495.916987
R. rattus,NHMUK_1999.14,Eutheria,Euarchontoglires,Rattus,Altricial,135.0555611
S. setosus,NHMUK_1974.484,Eutheria,Afrotheria,Setifer,Altricial,171.6190953
S. brachyurus,NHMUK_6.8.1.245,Metatheria,Marsupialia,Setonix,Super altricial,325.4150858
S. macroura,SmacAdult33_08,Metatheria,Marsupialia,Sminthopsis,Super altricial,98.88679572
T. europaea,NHMUK_1989.565,Eutheria,Laurasiatheria,Talpa,Altricial,128.5538811
T. vulpecula,TV1,Metatheria,Marsupialia,Trichosaurus,Super altricial,181.0267665
