Specimen,Specimen_name,Jugal,Ventral_premax,Interparietal,Paraoccipital,Premaxilla,Basisphenoid
1,Bettongia_penicillata_SAM-24228_80days,,,,,,
2,Bettongia_penicillata_SAM-24230_46days,,,,,,
3,Bettongia_penicillata_SAM-24233_13-15days,,,,,,
4,Bettongia_penicillata_SAM-24238_35days,,,,,,
5,Bettongia_penicillata_SAM-24239_20days,,,,,,
6,Bettongia_penicillata_SAM-24240_56days,,,,,,
7,Bettongia_penicillata_SAM-24243_85+days,,,,,,
8,Bettongia_penicillata_SAM-24244_28days,,,,,,
9,Bettongia_penicillata_SAM-24246_60-69days,,,,,,
10,Bettongia_penicillata_SAM-24247_adult,,,,,,
11,Bradypus_tridactylus_NHMUK_1867.4.12.579,,,38,,,
12,Bradypus_tridactylus_NHMUK_1989.226,,,38,,,
13,Bradypus_tridactylus_NHMUK_1994.6,,,38,46,,
14,Bradypus_tridactylus_NHMUK_52.1173,,,38,,,
15,Bradypus_tridactylus_NHMUK_no_number,,,38,,,
16,Bradypus_tridactylus_ZMB_18834,,,38,,,
17,Bradypus_tridactylus_ZMB_9195,,,38,46,,
18,Cebus_apella_NHMUK_12.6.5.8,,,38,,,
19,Cebus_apella_NHMUK_28.2.9.3,,,38,,,
20,Cebus_apella_NHMUK_3.7.25.1,,,38,,,
21,Cebus_apella_NHMUK_67.4.12.394,,,38,,,
22,Cebus_apella_NHMUK_71.3174,,,38,,,
23,Cebus_apella_NHMUK_71.3177,,,38,,,
24,Cyclopes_didactylus_NHMUK_2010.105,16,,38,,,
25,Cyclopes_didactylus_NHMUK_26.12.4.68,16,,38,,,
26,Cyclopes_didactylus_NHMUK_55.12.36.345,16,,38,,,
27,Cyclopes_didactylus_ZMB_6XII1906a,16,,38,,,
28,Dasyprocta_agouti_NHMUK_12.5.11.8,,,,,,
29,Dasyprocta_agouti_NHMUK_52.1156,,,,,,
30,Dasyprocta_agouti_NHMUK_67.4.12.472,,,,,,
31,Dasyprocta_agouti_NHMUK_67.4.12.497,,,,,,
32,Dasyprocta_agouti_NHMUK_67.4.12.585_spec1,,,,,,
33,Dasyprocta_agouti_NHMUK_67.4.12.585_spec2,,,,,,
34,Dasyprocta_agouti_NHMUK_97.8.13.2,,,,,,
35,Dasyprocta_agouti_NHMUK_ZD.2021.1,,,,,,
36,Dasypus_novemcinctus_MNHN_1901-331,,,38,46,,
